"YEAR","SAMPLE","SERIAL","HHWT","CLUSTER","CITY","STRATA","GQ","SAMPRULE","STREET","PERNUM","PERWT","RACE","RACED","MBPL","MBPLD","FBPL","FBPLD","PRESGL","OCCSTR"
1900,190001,651868,19.64,1900006518681,5530,134924100000,1,1,"HOUSE BOATS ON BANKS OF WILLAMET                                                  ",7,19.64,1,100,36,3600,465,46500,0.0,"                                                                                                      "
1900,190001,651869,19.64,1900006518691,5530,134924100000,1,1,"HOUSE BOATS ON BANKS OF WILLAMET                                                  ",1,19.64,1,100,453,45300,453,45300,30.2,"FISHERMAN                                                                                             "
1900,190001,651869,19.64,1900006518691,5530,134924100000,1,1,"HOUSE BOATS ON BANKS OF WILLAMET                                                  ",2,19.64,1,100,453,45300,453,45300,0.0,"                                                                                                      "
1900,190001,651869,19.64,1900006518691,5530,134924100000,1,1,"HOUSE BOATS ON BANKS OF WILLAMET                                                  ",3,19.64,1,100,453,45300,453,45300,18.9,"SERVANT                                                                                               "
1900,190001,651869,19.64,1900006518691,5530,134924100000,1,1,"HOUSE BOATS ON BANKS OF WILLAMET                                                  ",4,19.64,1,100,453,45300,453,45300,18.9,"SERVANT                                                                                               "
1900,190001,651869,19.64,1900006518691,5530,134924100000,1,1,"HOUSE BOATS ON BANKS OF WILLAMET                                                  ",5,19.64,1,100,453,45300,453,45300,36.8,"BOATMAN                                                                                               "
1900,190001,651869,19.64,1900006518691,5530,134924100000,1,1,"HOUSE BOATS ON BANKS OF WILLAMET                                                  ",6,19.64,1,100,453,45300,453,45300,30.2,"FISHERMAN                                                                                             "
1900,190001,651869,19.64,1900006518691,5530,134924100000,1,1,"HOUSE BOATS ON BANKS OF WILLAMET                                                  ",7,19.64,1,100,453,45300,453,45300,0.0,"AT SCHOOL                                                                                             "
1900,190001,651869,19.64,1900006518691,5530,134924100000,1,1,"HOUSE BOATS ON BANKS OF WILLAMET                                                  ",8,19.64,1,100,453,45300,453,45300,0.0,"AT SCHOOL                                                                                             "
1900,190001,651869,19.64,1900006518691,5530,134924100000,1,1,"HOUSE BOATS ON BANKS OF WILLAMET                                                  ",9,19.64,1,100,453,45300,453,45300,0.0,"AT SCHOOL                                                                                             "
1900,190001,651869,19.64,1900006518691,5530,134924100000,1,1,"HOUSE BOATS ON BANKS OF WILLAMET                                                  ",10,19.64,1,100,453,45300,453,45300,0.0,"AT SCHOOL                                                                                             "
1900,190001,651869,19.64,1900006518691,5530,134924100000,1,1,"HOUSE BOATS ON BANKS OF WILLAMET                                                  ",11,19.64,1,100,453,45300,453,45300,0.0,"AT SCHOOL                                                                                             "
1900,190001,651870,19.64,1900006518701,5530,134924100000,1,1,"HOUSE BOATS ON BANKS OF WILLAMET                                                  ",1,19.64,1,100,47,4700,47,4700,47.8,"MACHINIST                                                                                             "
1900,190001,651870,19.64,1900006518701,5530,134924100000,1,1,"HOUSE BOATS ON BANKS OF WILLAMET                                                  ",2,19.64,1,100,39,3900,39,3900,0.0,"                                                                                                      "
1900,190001,651870,19.64,1900006518701,5530,134924100000,1,1,"HOUSE BOATS ON BANKS OF WILLAMET                                                  ",3,19.64,1,100,39,3900,47,4700,0.0,"                                                                                                      "
1900,190001,651870,19.64,1900006518701,5530,134924100000,1,1,"HOUSE BOATS ON BANKS OF WILLAMET                                                  ",4,19.64,1,100,39,3900,47,4700,0.0,"                                                                                                      "
1900,190001,651870,19.64,1900006518701,5530,134924100000,1,1,"HOUSE BOATS ON BANKS OF WILLAMET                                                  ",5,19.64,1,100,39,3900,47,4700,0.0,"                                                                                                      "
1900,190001,651871,19.64,1900006518711,5530,134924100000,1,1,"THURMAN ST                                                                        ",1,19.64,1,100,29,2900,29,2900,0.0,"                                                                                                      "
1900,190001,651871,19.64,1900006518711,5530,134924100000,1,1,"THURMAN ST                                                                        ",2,19.64,1,100,29,2900,29,2900,50.3,"CHIEF CLERK PO DEPT                                                                                   "
1900,190001,651871,19.64,1900006518711,5530,134924100000,1,1,"THURMAN ST                                                                        ",3,19.64,1,100,29,2900,29,2900,37.6,"MAIL CLERK R R                                                                                        "
1900,190001,651871,19.64,1900006518711,5530,134924100000,1,1,"THURMAN ST                                                                        ",4,19.64,1,100,29,2900,29,2900,22.1,"??                                                                                                    "
1900,190001,651871,19.64,1900006518711,5530,134924100000,1,1,"THURMAN ST                                                                        ",5,19.64,1,100,39,3900,39,3900,32.8,"SALESMAN GROCERY                                                                                      "
1900,190001,651872,19.64,1900006518721,5530,134924100000,1,1,"THURMAN ST                                                                        ",1,19.64,1,100,411,41100,411,41100,47.8,"MACHINIST                                                                                             "
1900,190001,651872,19.64,1900006518721,5530,134924100000,1,1,"THURMAN ST                                                                        ",2,19.64,1,100,412,41200,412,41200,0.0,"                                                                                                      "
1900,190001,651872,19.64,1900006518721,5530,134924100000,1,1,"THURMAN ST                                                                        ",3,19.64,1,100,42,4200,411,41100,0.0,"                                                                                                      "
1900,190001,651872,19.64,1900006518721,5530,134924100000,1,1,"THURMAN ST                                                                        ",4,19.64,1,100,42,4200,411,41100,32.8,"SALESMAN WHOLESALE PAPER                                                                              "
1900,190001,651872,19.64,1900006518721,5530,134924100000,1,1,"THURMAN ST                                                                        ",5,19.64,1,100,414,41400,414,41400,0.0,"                                                                                                      "
1900,190001,651873,19.64,1900006518731,5530,134924100000,1,1,"THURMAN ST                                                                        ",1,19.64,1,100,29,2900,29,2900,32.1,"DRAYMAN                                                                                               "
1900,190001,651873,19.64,1900006518731,5530,134924100000,1,1,"THURMAN ST                                                                        ",2,19.64,1,100,39,3900,39,3900,0.0,"                                                                                                      "
1900,190001,651873,19.64,1900006518731,5530,134924100000,1,1,"THURMAN ST                                                                        ",3,19.64,1,100,41,4100,29,2900,0.0,"AT SCHOOL                                                                                             "
1900,190001,651873,19.64,1900006518731,5530,134924100000,1,1,"THURMAN ST                                                                        ",4,19.64,1,100,41,4100,29,2900,0.0,"AT SCHOOL                                                                                             "
1900,190001,651873,19.64,1900006518731,5530,134924100000,1,1,"THURMAN ST                                                                        ",5,19.64,1,100,39,3900,39,3900,0.0,"AT SCHOOL                                                                                             "
